champion1,champion2,champion3,games,wins,win_rate
Pantheon,VelKoz,Ryze,8,7,87.5
Xin Zhao,Trundle,Aurora,6,0,0.0
Elise,Tahm Kench,Tristana,7,0,0.0
Pantheon,Alistar,Galio,30,12,40.0
Ekko,Braum,Galio,13,9,69.23
Wukong,Karma,Rumble,9,0,0.0
Pantheon,Sona,Annie,15,1,6.67
Pantheon,Lulu,Cassiopeia,8,2,25.0
Zac,Bard,Tristana,6,5,83.33
Trundle,Poppy,Orianna,8,0,0.0
Ekko,Rell,Ambessa,16,13,81.25
Belveth,Karma,Galio,9,5,55.56
Volibear,Senna,Annie,6,6,100.0
Jarvan IV,Lulu,Orianna,39,19,48.72
Trundle,Neeko,Taliyah,17,17,100.0
Master Yi,Rell,Viktor,10,0,0.0
Pantheon,Nautilus,Orianna,41,23,56.1
Chogath,Alistar,Ryze,9,9,100.0
Shaco,Bard,Orianna,13,1,7.69
Viego,Neeko,LeBlanc,8,8,100.0
Skarner,Karma,Azir,8,0,0.0
Belveth,Braum,Syndra,22,22,100.0
Xin Zhao,Lulu,Galio,12,0,0.0
Fiddlesticks,Nautilus,Yone,17,17,100.0
Olaf,Leona,Syndra,10,0,0.0
Elise,Rakan,Tristana,6,0,0.0
KhaZix,Galio,Orianna,5,5,100.0
Pantheon,Zilean,Orianna,9,0,0.0
Vi,Blitzcrank,Annie,13,9,69.23
Belveth,Fiddlesticks,Viktor,7,7,100.0
Diana,Lulu,Zed,11,3,27.27
Karthus,Yuumi,Orianna,6,0,0.0
Zed,Lulu,Nunu & Willump,6,6,100.0
Pantheon,Nami,Yone,29,11,37.93
Vi,Lulu,Azir,26,16,61.54
Pantheon,Nami,Ryze,36,26,72.22
Wukong,Rell,Vladimir,18,5,27.78
Rengar,Lulu,Galio,15,1,6.67
Nunu & Willump,Soraka,Neeko,7,7,100.0
Skarner,Nami,Ziggs,15,9,60.0
Nunu & Willump,Neeko,Viktor,9,0,0.0
Shen,Renata,Ekko,3,0,0.0
Belveth,Rell,Ryze,12,11,91.67
Belveth,VelKoz,Annie,5,5,100.0
KhaZix,Rakan,Naafiri,5,0,0.0
Talon,Nami,Ekko,10,3,30.0
Zac,Yuumi,Galio,2,2,100.0
Volibear,Thresh,Taliyah,13,1,7.69
Udyr,Renata,Ryze,8,8,100.0
Pantheon,Bard,Viktor,32,21,65.62
Trundle,Alistar,Zoe,7,0,0.0
Vi,Nautilus,Viktor,7,5,71.43
Poppy,Nami,Galio,9,4,44.44
Pantheon,Karma,Zoe,23,0,0.0
Trundle,Neeko,Annie,9,9,100.0
Pantheon,Karma,Viktor,23,10,43.48
Qiyana,Rakan,Ryze,9,9,100.0
Ambessa,Bard,Kennen,7,0,0.0
Ekko,Alistar,Tristana,17,10,58.82
Karthus,Soraka,Zoe,8,0,0.0
Ekko,Karma,Jayce,13,12,92.31
Jarvan IV,Pyke,Annie,9,2,22.22
Wukong,Rell,Zoe,12,9,75.0
Ekko,Alistar,Ambessa,7,7,100.0
Zed,Poppy,Galio,7,0,0.0
Naafiri,Elise,Galio,6,6,100.0
Jarvan IV,Lulu,Twisted Fate,28,9,32.14
Nocturne,Braum,Tristana,6,6,100.0
Jarvan IV,Neeko,Annie,19,14,73.68
Volibear,Braum,Azir,27,9,33.33
Wukong,Thresh,Swain,6,6,100.0
Zac,Blitzcrank,Twisted Fate,4,0,0.0
Kindred,Poppy,Galio,20,6,30.0
Taliyah,Nautilus,Cassiopeia,6,0,0.0
Pantheon,Rell,Syndra,35,16,45.71
Lee Sin,Neeko,Twisted Fate,25,9,36.0
Wukong,Lulu,Zilean,7,0,0.0
Nidalee,Poppy,Zoe,15,15,100.0
Wukong,Alistar,Azir,18,11,61.11
Lee Sin,Sona,Akali,17,10,58.82
Vi,Galio,Sylas,4,0,0.0
Lee Sin,Rell,Galio,16,5,31.25
Lee Sin,Braum,Vex,11,0,0.0
Ekko,Poppy,Kassadin,7,7,100.0
Lee Sin,Lulu,Galio,19,9,47.37
Pantheon,Karma,Sylas,35,21,60.0
Lee Sin,Poppy,Syndra,13,3,23.08
Talon,Lulu,Taliyah,13,10,76.92
Wukong,Alistar,Vladimir,14,14,100.0
Lee Sin,Karma,Zoe,22,6,27.27
Pantheon,Nautilus,Rakan,3,3,100.0
Viego,Thresh,Syndra,26,9,34.62
Lee Sin,Nami,Akali,37,9,24.32
Vi,Braum,Aurora,17,16,94.12
Nidalee,Alistar,Yone,26,16,61.54
Pantheon,Braum,Zoe,18,10,55.56
Vi,Rakan,Ahri,58,18,31.03
Ekko,Braum,Aurora,8,1,12.5
Talon,Rakan,Annie,13,5,38.46
Nunu & Willump,Sona,Viktor,3,3,100.0
Graves,Elise,Taliyah,3,0,0.0
Belveth,Rell,Azir,13,4,30.77
Rengar,Sona,Akali,7,0,0.0
Lee Sin,Fiddlesticks,Yone,3,3,100.0
Rammus,Sona,Zed,7,6,85.71
Hecarim,Seraphine,Naafiri,6,0,0.0
Pantheon,Blitzcrank,Veigar,5,0,0.0
Shaco,Nautilus,Aurora,8,6,75.0
Hecarim,Leona,Veigar,10,6,60.0
Zed,Sona,Sylas,11,4,36.36
Jarvan IV,Karma,Diana,4,0,0.0
Ekko,Pyke,Irelia,5,5,100.0
Aurelion Sol,Pyke,Yone,7,0,0.0
Zed,Rammus,Orianna,7,7,100.0
Ekko,Rammus,Irelia,6,6,100.0
Zed,Alistar,Akali,49,34,69.39
Fiddlesticks,Karma,Taliyah,3,3,100.0
Jarvan IV,Seraphine,Ahri,3,0,0.0
Ekko,Nami,Naafiri,3,0,0.0
Viego,Nautilus,Gragas,17,14,82.35
Gwen,Blitzcrank,Veigar,3,0,0.0
Wukong,Nautilus,Veigar,1,0,0.0
Volibear,Nami,Sylas,21,16,76.19
Graves,Lulu,Galio,18,14,77.78
