champion1,champion2,games,wins,win_rate
Renekton,KhaZix,167,78,46.71
Rumble,Talon,91,43,47.25
Ambessa,Zac,202,128,63.37
Yorick,Volibear,128,68,53.12
Smolder,Udyr,18,15,83.33
Ryze,Trundle,36,12,33.33
Gwen,Pantheon,625,358,57.28
Ambessa,Trundle,353,192,54.39
Jayce,Pantheon,395,210,53.16
Irelia,Qiyana,52,41,78.85
Renekton,Ambessa,57,23,40.35
Swain,Ekko,23,16,69.57
Sion,Karthus,82,36,43.9
Aatrox,Ekko,386,163,42.23
Swain,Jarvan IV,45,19,42.22
Sylas,Wukong,19,9,47.37
Camille,Zed,113,49,43.36
Jax,Naafiri,241,107,44.4
Vladimir,Jarvan IV,183,76,41.53
Gragas,Nocturne,172,106,61.63
Swain,Naafiri,28,6,21.43
Fiora,Volibear,130,81,62.31
Ivern,Wukong,8,8,100.0
Renekton,Zac,84,59,70.24
Gnar,Kindred,82,54,65.85
KSante,Taliyah,26,10,38.46
Gragas,Lee Sin,394,183,46.45
Aatrox,Wukong,200,69,34.5
Lee Sin,Nidalee,10,7,70.0
Shen,Wukong,149,91,61.07
Kennen,Lee Sin,257,118,45.91
Anivia,Vi,24,17,70.83
Ambessa,Shaco,146,66,45.21
Ambessa,Lee Sin,766,389,50.78
Aurora,Lee Sin,199,132,66.33
Yorick,Talon,93,39,41.94
Aurora,Wukong,163,85,52.15
Yorick,Lee Sin,250,113,45.2
Soraka,Viego,4,1,25.0
Yorick,Vi,174,82,47.13
Urgot,Nidalee,60,37,61.67
Ornn,Vi,99,48,48.48
Jax,Ekko,314,130,41.4
Ambessa,Talon,306,143,46.73
Riven,Graves,73,35,47.95
Chogath,Belveth,60,32,53.33
KSante,Rengar,122,47,38.52
Poppy,Rammus,11,9,81.82
Renekton,Hecarim,160,52,32.5
Aatrox,Pantheon,490,206,42.04
Darius,Zed,146,78,53.42
Renekton,Jarvan IV,398,204,51.26
Quinn,Ekko,61,33,54.1
Poppy,Aurelion Sol,7,0,0.0
Renekton,Zed,291,123,42.27
Gwen,Zed,374,173,46.26
Riven,Fiddlesticks,64,32,50.0
Shen,Jarvan IV,217,119,54.84
Camille,Gwen,48,29,60.42
Kennen,Wukong,89,48,53.93
Reksai,Volibear,4,3,75.0
Sion,Graves,66,44,66.67
Yorick,Jarvan IV,234,105,44.87
Jayce,Ambessa,68,36,52.94
Camille,Nunu & Willump,59,29,49.15
Darius,Reksai,41,21,51.22
Ryze,Nunu & Willump,20,19,95.0
Heimerdinger,Jarvan IV,64,21,32.81
Ambessa,Hecarim,239,118,49.37
Quinn,Nunu & Willump,44,17,38.64
Teemo,Vi,82,31,37.8
Anivia,Nunu & Willump,18,15,83.33
Dr. Mundo,Chogath,10,0,0.0
Gnar,Nunu & Willump,34,20,58.82
Quinn,Elise,53,31,58.49
Irelia,Nunu & Willump,84,35,41.67
Ornn,Trundle,77,31,40.26
Ivern,Kindred,12,3,25.0
Jayce,Ekko,230,123,53.48
Urgot,Qiyana,36,29,80.56
Fiora,Nunu & Willump,83,27,32.53
KSante,Nunu & Willump,64,47,73.44
Urgot,Graves,56,30,53.57
Vladimir,Nunu & Willump,49,29,59.18
Wukong,Xin Zhao,22,12,54.55
Sion,Hecarim,138,60,43.48
Ambessa,Qiyana,179,91,50.84
Yorick,Dr. Mundo,52,22,42.31
Garen,Nunu & Willump,40,16,40.0
Viego,Kindred,6,5,83.33
Rengar,Ivern,21,18,85.71
Renekton,Nunu & Willump,101,50,49.5
Jayce,Nunu & Willump,77,43,55.84
Irelia,Talon,99,47,47.47
Aatrox,Xin Zhao,256,108,42.19
Shen,Volibear,99,39,39.39
Yorick,Ambessa,24,10,41.67
Ambessa,Viego,830,444,53.49
Yorick,Nunu & Willump,101,62,61.39
Lissandra,Nunu & Willump,14,14,100.0
Shen,Trundle,90,62,68.89
Kayle,Nunu & Willump,36,15,41.67
Jayce,Qiyana,103,55,53.4
Vladimir,Master Yi,42,13,30.95
KSante,Pantheon,292,143,48.97
Kayle,Viego,164,94,57.32
Chogath,Shaco,35,13,37.14
Yorick,Jax,33,27,81.82
Neeko,Fiddlesticks,13,2,15.38
Ambessa,Udyr,262,159,60.69
Wukong,Nunu & Willump,11,4,36.36
Gragas,Volibear,131,53,40.46
Aatrox,Nidalee,195,101,51.79
Heimerdinger,Nunu & Willump,10,6,60.0
Gragas,Naafiri,134,87,64.93
Ryze,Briar,4,0,0.0
Neeko,Nunu & Willump,2,0,0.0
Yorick,Gwen,64,30,46.88
Olaf,Belveth,20,16,80.0
Chogath,Naafiri,54,31,57.41
Cassiopeia,Nunu & Willump,3,3,100.0
Teemo,Trundle,63,18,28.57
Jayce,Vi,205,95,46.34
Sion,Nunu & Willump,41,20,48.78
Akali,Nunu & Willump,22,15,68.18
Quinn,Hecarim,39,8,20.51
Camille,Zyra,22,13,59.09
Ornn,Udyr,73,22,30.14
Kled,Nidalee,66,32,48.48
Rumble,Reksai,17,7,41.18
Aatrox,Talon,215,108,50.23
Renekton,Fiddlesticks,90,49,54.44
Ornn,Nunu & Willump,36,13,36.11
Jayce,Evelynn,66,33,50.0
Kled,Viego,185,104,56.22
Ornn,Sejuani,19,9,47.37
Kayle,Talon,67,38,56.72
Rumble,Trundle,206,99,48.06
Kennen,Nocturne,88,47,53.41
Jayce,KhaZix,159,79,49.69
Quinn,Trundle,56,20,35.71
Gragas,Elise,41,17,41.46
Riven,Udyr,129,68,52.71
Jayce,Nocturne,170,102,60.0
Irelia,Morgana,28,11,39.29
Camille,KhaZix,65,39,60.0
Mordekaiser,Trundle,60,33,55.0
KSante,Elise,76,34,44.74
Olaf,Poppy,13,8,61.54
Camille,Nocturne,94,60,63.83
Vladimir,Nocturne,55,24,43.64
Aatrox,Nocturne,212,98,46.23
Ambessa,Gwen,155,80,51.61
KSante,Jarvan IV,264,155,58.71
Yone,Jarvan IV,152,70,46.05
Renekton,Elise,140,66,47.14
Jayce,Sejuani,38,19,50.0
Yasuo,Xin Zhao,132,54,40.91
Malphite,Nocturne,101,73,72.28
Neeko,KhaZix,24,14,58.33
