blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Renata Glasc,Yone,Alistar,Rell,13.19,Zven,Trymbi,,,,
,,,,,,,Cloud9,Fnatic,red_side,blue_side
Maokai,Kalista,Rumble,Volibear,13.19,Canna,Adam,,,,
Darius,Xayah,Vi,Lee Sin,13.19,Canyon,Sheo,,,,
Orianna,Jarvan IV,Neeko,LeBlanc,13.19,ShowMaker,nuc,,,,
Garen,Jax,Caitlyn,Kaisa,13.19,Deft,Crownie,,,,
Malphite,Gnar,Lux,Blitzcrank,13.19,Kellin,Labrov,,,,
,,,,,,,Dplus KIA,Team BDS,blue_side,red_side
Kalista,Maokai,Olaf,Rumble,13.19,Adam,Canna,,,,
Caitlyn,Darius,Wukong,Lee Sin,13.19,Sheo,Canyon,,,,
Xayah,Orianna,Neeko,Azir,13.19,nuc,ShowMaker,,,,
LeBlanc,Vi,Kaisa,Aphelios,13.19,Crownie,Deft,,,,
Yasuo,Garen,Rakan,Alistar,13.19,Labrov,Kellin,,,,
,,,,,,,Team BDS,Dplus KIA,red_side,blue_side
Jayce,Ziggs,KSante,Rumble,13.19,Summit,Kiaya,,,,
Syndra,Lee Sin,Jarvan IV,Maokai,13.19,Pyosik,Levi,,,,
Xayah,Viego,Orianna,Tristana,13.19,APA,Kati,,,,
Kaisa,Kalista,Aphelios,Zeri,13.19,Yeon,Slayder,,,,
Rell,Alistar,Thresh,Rakan,13.19,CoreJJ,Palette,,,,
,,,,,,,Team Liquid,GAM Esports,red_side,blue_side
Rumble,Ziggs,Renekton,Kennen,13.19,Summit,Kiaya,,,,
Maokai,Lee Sin,Kindred,Vi,13.19,Pyosik,Levi,,,,
Orianna,Viego,Neeko,Syndra,13.19,APA,Kati,,,,
Wukong,Jarvan IV,Xayah,Draven,13.19,Yeon,Slayder,,,,
Nocturne,Jax,Rakan,Renata Glasc,13.19,CoreJJ,Palette,,,,
,,,,,,,Team Liquid,GAM Esports,blue_side,red_side
Ziggs,Maokai,KSante,Jax,13.19,Kiaya,Summit,,,,
Neeko,Rumble,Wukong,Sejuani,13.19,Levi,Pyosik,,,,
Kindred,Orianna,Syndra,Ahri,13.19,Kati,APA,,,,
Jarvan IV,Nautilus,Xayah,Kaisa,13.19,Slayder,Yeon,,,,
Lee Sin,Renekton,Rell,Rakan,13.19,Palette,CoreJJ,,,,
,,,,,,,GAM Esports,Team Liquid,blue_side,red_side
Poppy,Alistar,KSante,Rumble,13.19,Kiin,TheShy,,,,
Maokai,Xayah,Viego,Jarvan IV,13.19,Cuzz,WeiWei,,,,
Kalista,Rakan,Neeko,Orianna,13.19,Bdd,xiaohu,,,,
Rell,Vi,Kaisa,Sivir,13.19,Aiming,Light,,,,
Renata Glasc,Nocturne,Nautilus,Leona,13.19,Lehends,Crisp,,,,
,,,,,,,KT Rolster,Weibo Gaming,blue_side,red_side
Azir,Neeko,Jax,Poppy,13.19,Bin,Oscarinin,,,,
Renekton,Maokai,Sejuani,Ivern,13.19,XUN,Razork,,,,
Kalista,Xayah,Orianna,Akali,13.19,Yagao,Humanoid,,,,
Rumble,Lee Sin,Tristana,Kaisa,13.19,Elk,Noah,,,,
Nautilus,Vi,Rakan,Alistar,13.19,ON,Trymbi,,,,
,,,,,,,Bilibili Gaming,Fnatic,blue_side,red_side
Belveth,Orianna,Jayce,Rumble,13.19,Dhokla,Chasy,,,,
Kalista,Jax,Maokai,Jarvan IV,13.19,Contractz,Elyoya,,,,
Kennen,Xayah,Sylas,Taliyah,13.19,Palafox,Nisqy,,,,
Azir,KSante,Kaisa,Nilah,13.19,FBI,Carzzy,,,,
Sivir,Yone,Rell,Alistar,13.19,IgNar,Hylissang,,,,
,,,,,,,NRG,MAD Lions,blue_side,red_side
Taliyah,Caitlyn,Rumble,Jax,13.19,Zeus,Fudge,,,,
Maokai,Renata Glasc,Jarvan IV,Belveth,13.19,Oner,Blaber,,,,
Poppy,Azir,Sylas,Orianna,13.19,Faker,EMENES,,,,
KSante,Nautilus,Xayah,Zeri,13.19,Gumayusi,Berserker,,,,
Rell,Alistar,Bard,Rakan,13.19,Keria,Zven,,,,
,,,,,,,T1,Cloud9,blue_side,red_side
Vi,Draven,Renekton,Jax,13.19,Brokenblade,Doran,,,,
Poppy,Orianna,Maokai,Lee Sin,13.19,Yike,Peanut,,,,
Jarvan IV,Kalista,Tristana,Sylas,13.19,Caps,Chovy,,,,
Sejuani,KSante,Ezreal,Xayah,13.19,Hans Sama,Peyz,,,,
Rumble,Jayce,Lissandra,Rakan,13.19,Mikyx,Delight,,,,
,,,,,,,G2 Esports,Gen.G eSports,red_side,blue_side
Vi,Draven,KSante,Aatrox,13.19,Brokenblade,Doran,,,,
Poppy,Orianna,Maokai,Rell,13.19,Yike,Peanut,,,,
Sylas,Kalista,Taliyah,Akali,13.19,Caps,Chovy,,,,
Neeko,Jayce,Lucian,Xayah,13.19,Hans Sama,Peyz,,,,
Jax,Renekton,Nautilus,Rakan,13.19,Mikyx,Delight,,,,
,,,,,,,G2 Esports,Gen.G eSports,red_side,blue_side
Azir,Kalista,KSante,Camille,13.19,369,Zika,,,,
Maokai,Xayah,Vi,Lee Sin,13.19,Kanavi,Tarzan,,,,
Rumble,Rakan,Orianna,Akali,13.19,Knight,Scout,,,,
Jax,Ornn,Zeri,Kaisa,13.19,Ruler,GALA,,,,
Gwen,Renekton,Lulu,Alistar,13.19,Missing,Hang,,,,
,,,,,,,JD Gaming,LNG Esports,blue_side,red_side
Kalista,Azir,Renekton,KSante,13.19,Zika,369,,,,
