blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
,,,,,,,Funplus Phoenix,Weibo Gaming,red_side,blue_side
Lucian,Poppy,Fiora,Gwen,12.14,TheShy,Summit,,,,
Yuumi,Kalista,Wukong,Lee Sin,12.14,SofM,Clid,,,,
Ahri,Draven,Azir,Sylas,12.14,Angel,Care,,,,
Xin Zhao,Kennen,Zeri,Sivir,12.14,huanfeng,Lwx,,,,
Vi,Jax,Pyke,Rakan,12.14,ON,Hang,,,,
,,,,,,,Weibo Gaming,Funplus Phoenix,blue_side,red_side
Kalista,Poppy,Gwen,Jax,12.14,Breathe,Zika,,,,
Nidalee,Taliyah,Vi,Xin Zhao,12.14,Wei,XUN,,,,
Draven,Wukong,Ahri,Vex,12.14,xiaohu,Mole,,,,
Lissandra,Zeri,Lucian,Aphelios,12.14,GALA,Ahn,,,,
LeBlanc,Sivir,Nami,Nautilus,12.14,Ming,Wink,,,,
,,,,,,,Royal Never Give Up,Invictus Gaming,blue_side,red_side
Kalista,Poppy,Gwen,Jax,12.14,Breathe,Zika,,,,
Nidalee,Taliyah,Vi,Xin Zhao,12.14,Wei,XUN,,,,
Draven,Wukong,Ahri,Galio,12.14,xiaohu,Mole,,,,
Lissandra,Zeri,Tahm Kench,Aphelios,12.14,Ming,Ahn,,,,
LeBlanc,Sivir,Senna,Nautilus,12.14,GALA,Wink,,,,
,,,,,,,Royal Never Give Up,Invictus Gaming,red_side,blue_side
Kalista,Poppy,Gragas,Jax,12.14,Breathe,Zika,,,,
Nidalee,Taliyah,Vi,Viego,12.14,Wei,XUN,,,,
Draven,Wukong,LeBlanc,Lissandra,12.14,xiaohu,Mole,,,,
Xin Zhao,Kennen,Zeri,Aphelios,12.14,GALA,Ahn,,,,
Galio,Gangplank,Leona,Nautilus,12.14,Ming,Wink,,,,
,,,,,,,Royal Never Give Up,Invictus Gaming,blue_side,red_side
Samira,Kalista,Jax,Sejuani,12.14,Bin,shanji,,,,
Sylas,Fiora,Wukong,Vi,12.14,WeiWei,AKi,,,,
Tristana,Poppy,Azir,Ahri,12.14,icon,Creme,,,,
Alistar,Lissandra,Sivir,Zeri,12.14,Doggo,Able,,,,
Amumu,LeBlanc,Yuumi,Lulu,12.14,Crisp,cold,,,,
,,,,,,,Bilibili Gaming,OMG,blue_side,red_side
Kalista,Samira,Gwen,Gnar,12.14,shanji,Bin,,,,
Fiora,Poppy,Wukong,Trundle,12.14,AKi,WeiWei,,,,
Azir,Sylas,Akali,LeBlanc,12.14,Creme,icon,,,,
Xin Zhao,Vex,Tristana,Zeri,12.14,Able,Doggo,,,,
Jax,Ahri,Nautilus,Yuumi,12.14,cold,Crisp,,,,
,,,,,,,OMG,Bilibili Gaming,red_side,blue_side
Poppy,Fiora,Gnar,Sejuani,12.14,fearness,Wayward,,,,
Sylas,Kalista,Pantheon,Vi,12.14,Kui,Tian,,,,
Draven,Lucian,Taliyah,Ahri,12.14,Haichao,Knight,,,,
Xin Zhao,Trundle,Jinx,Sivir,12.14,Assum,JackeyLove,,,,
Wukong,Viego,Nautilus,Yuumi,12.14,jinjiao,Mark,,,,
,,,,,,,LGD Gaming,Top Esports,red_side,blue_side
Fiora,Poppy,Gwen,Gnar,12.14,Wayward,fearness,,,,
Kalista,No ban,Wukong,Viego,12.14,Tian,Kui,,,,
LeBlanc,Taliyah,Ahri,Sylas,12.14,Knight,Haichao,,,,
Nautilus,Senna,Zeri,Draven,12.14,JackeyLove,Assum,,,,
Renata Glasc,Lucian,Braum,Pyke,12.14,Mark,jinjiao,,,,
,,,,,,,Top Esports,LGD Gaming,blue_side,red_side
Taliyah,Zeri,Jax,Gragas,12.14,Cube,PandaC,,,,
Ryze,Nidalee,Pantheon,Viego,12.14,Leyan,Tarzan,,,,
Poppy,Wukong,Zoe,Lissandra,12.14,Strive,Doinb,,,,
Renekton,LeBlanc,Kalista,Draven,12.14,iBOY,Light,,,,
Sylas,Ahri,Ashe,Renata Glasc,12.14,Zorah,LvMao,,,,
,,,,,,,Rare Atom,LNG Esports,blue_side,red_side
Nidalee,Poppy,Gwen,Jayce,12.14,PandaC,Cube,,,,
Jax,Taliyah,Sejuani,Trundle,12.14,Tarzan,Leyan,,,,
Kalista,Wukong,Renekton,Sylas,12.14,Doinb,Strive,,,,
Pantheon,Ryze,Zeri,Lucian,12.14,Light,iBOY,,,,
LeBlanc,Lissandra,Yuumi,Nami,12.14,LvMao,Zorah,,,,
,,,,,,,LNG Esports,Rare Atom,blue_side,red_side
Taliyah,Zeri,Gnar,Renekton,12.14,Cube,PandaC,,,,
Ryze,Jax,Nidalee,Vi,12.14,Leyan,Tarzan,,,,
Poppy,Kalista,LeBlanc,Galio,12.14,Strive,Doinb,,,,
Diana,Lulu,Xayah,Lucian,12.14,iBOY,Light,,,,
