blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Ahri,Kalista,Wukong,Trundle,12.15,Spica,Josedeodo,,,,
Yuumi,Azir,Sylas,Orianna,12.15,Maple,Toucouille,,,,
Alistar,Ornn,Sivir,Aphelios,12.15,Tactical,Johnsun,,,,
Jax,Lulu,Rakan,Leona,12.15,Chime,Aphromoo,,,,
,,,,,,,TSM,FlyQuest,blue_side,red_side
Renekton,Sivir,Aatrox,Ornn,12.15,Philip,solo,,,,
Kalista,Zeri,Poppy,Vi,12.15,Josedeodo,Spica,,,,
Sylas,Wukong,Azir,Ahri,12.15,Toucouille,Maple,,,,
Lucian,Aphelios,Jinx,Xayah,12.15,Johnsun,Tactical,,,,
Draven,Seraphine,Tahm Kench,Rakan,12.15,Aphromoo,Chime,,,,
,,,,,,,FlyQuest,TSM,red_side,blue_side
Yone,Zilean,Kennen,Sejuani,12.15,Fudge,Dhokla,,,,
Seraphine,Yuumi,Trundle,Vi,12.15,Blaber,Contractz,,,,
Draven,Azir,Orianna,Sylas,12.15,Jensen,Palafox,,,,
Ahri,Xin Zhao,Kalista,Sivir,12.15,Berserker,Luger,,,,
LeBlanc,Jarvan IV,Ashe,Renata Glasc,12.15,Zven,Poome,,,,
,,,,,,,Cloud9,CLG,blue_side,red_side
Kalista,Seraphine,Renekton,Aatrox,12.15,Dhokla,Fudge,,,,
Poppy,Azir,Trundle,Vi,12.15,Contractz,Blaber,,,,
Nautilus,Yuumi,Sylas,Ahri,12.15,Palafox,Jensen,,,,
Karma,LeBlanc,Zeri,Sivir,12.15,Luger,Berserker,,,,
Renata Glasc,Lissandra,Lulu,Amumu,12.15,Poome,Zven,,,,
,,,,,,,CLG,Cloud9,blue_side,red_side
Yone,Azir,Kennen,Sejuani,12.15,Fudge,Dhokla,,,,
Seraphine,Yuumi,Nocturne,Trundle,12.15,Blaber,Contractz,,,,
Draven,Kalista,Orianna,Ahri,12.15,Jensen,Palafox,,,,
LeBlanc,Vi,Sivir,Zeri,12.15,Berserker,Luger,,,,
Ornn,Zilean,Nautilus,Lulu,12.15,Zven,Poome,,,,
,,,,,,,Cloud9,CLG,blue_side,red_side
Kalista,Seraphine,Akali,Renekton,12.15,Dhokla,Fudge,,,,
Orianna,Yuumi,Poppy,Trundle,12.15,Contractz,Blaber,,,,
Nautilus,Lulu,Yone,Azir,12.15,Palafox,Jensen,,,,
Amumu,LeBlanc,Zeri,Draven,12.15,Luger,Berserker,,,,
Pyke,Sylas,Renata Glasc,Ashe,12.15,Poome,Zven,,,,
,,,,,,,CLG,Cloud9,blue_side,red_side
Yone,Kalista,Sejuani,Gwen,12.15,Fudge,Dhokla,,,,
Seraphine,Yuumi,Viego,Trundle,12.15,Blaber,Contractz,,,,
Draven,Kennen,LeBlanc,Vex,12.15,Jensen,Palafox,,,,
Azir,Zilean,Sivir,Zeri,12.15,Berserker,Luger,,,,
Ornn,Orianna,Lulu,Karma,12.15,Zven,Poome,,,,
,,,,,,,Cloud9,CLG,blue_side,red_side
Yuumi,Trundle,Olaf,Aatrox,12.15,Bwipo,Philip,,,,
Lulu,Kalista,Wukong,Vi,12.15,Santorin,Josedeodo,,,,
Gwen,Poppy,Syndra,Azir,12.15,Bjergsen,Toucouille,,,,
Jarvan IV,Ornn,Sivir,Aphelios,12.15,Hans Sama,Johnsun,,,,
Jax,Rakan,Leona,Alistar,12.15,CoreJJ,Aphromoo,,,,
,,,,,,,Team Liquid,FlyQuest,red_side,blue_side
Yuumi,Trundle,Sejuani,Renekton,12.15,Bwipo,Philip,,,,
Lulu,Kalista,Viego,Wukong,12.15,Santorin,Josedeodo,,,,
Vi,Poppy,Azir,LeBlanc,12.15,Bjergsen,Toucouille,,,,
Gwen,Jarvan IV,Draven,Sivir,12.15,Hans Sama,Johnsun,,,,
Aatrox,Ornn,Alistar,Braum,12.15,CoreJJ,Aphromoo,,,,
,,,,,,,Team Liquid,FlyQuest,blue_side,red_side
Kalista,Yuumi,Aatrox,Renekton,12.15,Philip,Bwipo,,,,
Draven,Lulu,Vi,Trundle,12.15,Josedeodo,Santorin,,,,
Poppy,Sivir,Azir,Swain,12.15,Toucouille,Bjergsen,,,,
Camille,Zeri,Lucian,Seraphine,12.15,Johnsun,Hans Sama,,,,
Tryndamere,Aphelios,Nami,Nautilus,12.15,Aphromoo,CoreJJ,,,,
,,,,,,,FlyQuest,Team Liquid,red_side,blue_side
Kalista,Yuumi,Camille,Gragas,12.15,Philip,Bwipo,,,,
Poppy,Lulu,Wukong,Trundle,12.15,Josedeodo,Santorin,,,,
Azir,Vi,LeBlanc,Ahri,12.15,Toucouille,Bjergsen,,,,
Ornn,Aatrox,Vayne,Sivir,12.15,Johnsun,Hans Sama,,,,
Swain,Aphelios,Alistar,Leona,12.15,Aphromoo,CoreJJ,,,,
,,,,,,,FlyQuest,Team Liquid,red_side,blue_side
